src_ip,dst_ip,up_bytes,down_bytes
192.168.108.100,3.2.36.84,28847,302891
192.168.108.100,3.2.41.5,34353,284067
192.168.108.100,3.2.50.61,76341,599424
192.168.108.100,3.4.3.152,66427,657740
192.168.108.100,3.4.6.197,52523,467276
192.168.108.100,40.101.58.73,67054,488001
192.168.108.100,40.123.164.38,6144,79345
192.168.108.100,40.77.202.151,53213,533769
192.168.108.100,40.77.228.230,83031,782195
192.168.108.100,40.79.7.245,169459,1405550
192.168.108.100,40.79.90.77,14373,125033
192.168.108.100,40.82.82.250,14526,77345
192.168.108.100,40.82.96.62,39450,313616
192.168.108.100,40.90.67.91,182816,1503609
192.168.108.100,45.60.74.62,20023,141086
192.168.108.100,45.79.13.253,5957,39718
192.168.108.100,51.141.137.194,10828,58157
192.168.108.100,52.112.27.147,107688,904497
192.168.108.100,52.115.92.181,82378,754196
192.168.108.100,52.165.49.22,31872,230249
192.168.108.100,52.176.165.144,52457,386637
192.168.108.100,52.176.239.67,36651,288843
192.168.108.100,52.185.126.148,44992,390684
192.168.108.100,52.185.127.237,4867,36428
192.168.108.100,52.239.155.90,64021,570907
192.168.108.100,52.93.56.156,121021,1037719
192.168.108.100,52.93.63.105,31525,329644
192.168.108.100,52.94.22.133,28532,206769
192.168.108.100,52.94.22.149,40414,291701
192.168.108.100,52.94.68.27,118790,940442
192.168.108.100,52.95.25.233,21352,140402
192.168.108.100,54.155.178.5,16665,192762
192.168.108.100,54.192.95.95,244708,1947562
192.168.108.100,62.28.254.212,585116,4978934
192.168.108.100,62.28.254.215,565557,4972127
192.168.108.100,64.4.54.203,12243,147238
192.168.108.100,65.55.207.175,24549,178023
192.168.108.100,65.55.250.211,7113,36908
192.168.108.100,66.254.114.41,515218,4672771
192.168.108.100,68.220.85.25,43672,326880
192.168.108.100,69.12.60.191,26262,221616
192.168.108.100,72.14.181.66,9487,69206
192.168.108.100,74.119.76.87,68946,592520
192.168.108.100,88.157.217.145,1333670,11696962
192.168.108.100,88.157.217.146,705513,5645291
192.168.108.100,88.157.217.148,78460,650930
192.168.108.100,99.77.254.85,39545,323294
192.168.108.100,99.83.114.185,9736,71547
192.168.108.101,104.17.45.30,523309,4422203
192.168.108.101,104.212.67.47,97421,782023
192.168.108.101,104.22.47.238,152722,1151606
192.168.108.101,104.244.42.193,1248846,10021658
192.168.108.101,104.26.3.6,657418,5351188
192.168.108.101,104.26.9.83,211377,1723541
192.168.108.101,104.83.180.153,47007,379627
192.168.108.101,108.157.98.113,535961,4461755
192.168.108.101,108.157.98.51,302512,2431499
192.168.108.101,109.74.196.227,74134,574027
192.168.108.101,109.74.206.16,33025,276791
192.168.108.101,129.149.22.47,17848,164934
192.168.108.101,13.104.196.240,25924,188813
192.168.108.101,13.105.108.100,17146,172283
192.168.108.101,13.105.29.54,21872,136464
192.168.108.101,13.105.53.121,61123,592498
192.168.108.101,13.107.22.248,10111,81163
192.168.108.101,13.107.224.243,53446,532846
192.168.108.101,13.107.226.207,59930,493397
192.168.108.101,13.107.237.42,504432,4022865
192.168.108.101,13.107.3.137,51830,409089
192.168.108.101,13.107.42.14,515039,4333151
192.168.108.101,13.107.42.15,35447,1493198
192.168.108.101,13.107.42.21,37395,1288913
192.168.108.101,13.107.42.22,34210,1726568
192.168.108.101,13.107.42.26,53120,1240455
192.168.108.101,13.107.42.31,64635,4326417
192.168.108.101,13.107.42.33,28205,1593764
192.168.108.101,13.107.42.35,47015,1855814
192.168.108.101,13.107.42.4,62467,2489210
192.168.108.101,13.107.42.45,57169,2602871
192.168.108.101,13.107.42.47,51139,865331
192.168.108.101,13.107.42.50,45428,1303575
192.168.108.101,13.107.42.52,29783,1138248
192.168.108.101,13.107.42.54,44175,1425454
192.168.108.101,13.107.42.57,41094,1809319
192.168.108.101,13.107.42.58,46102,2222337
192.168.108.101,13.107.42.59,83416,3640094
192.168.108.101,13.107.42.60,50086,1562075
192.168.108.101,13.107.42.8,98321,5634297
192.168.108.101,13.107.5.127,32912,219908
192.168.108.101,13.107.6.156,36443,378195
192.168.108.101,13.34.11.227,16909,121771
192.168.108.101,13.34.42.80,13396,96298
192.168.108.101,13.34.68.125,23147,180780
192.168.108.101,13.34.70.80,9691,75781
192.168.108.101,13.87.124.123,217736,1642507
192.168.108.101,130.35.0.91,15130,148285
192.168.108.101,130.35.116.85,16326,153165
192.168.108.101,130.35.228.215,86650,891559
192.168.108.101,131.186.10.238,35022,316881
192.168.108.101,131.186.6.16,8533,82822
192.168.108.101,131.253.3.132,47902,503722
192.168.108.101,134.170.222.247,7052,63672
192.168.108.101,134.70.192.89,36338,271461
192.168.108.101,134.70.33.120,57654,469700
192.168.108.101,137.184.247.89,8218,74756
192.168.108.101,138.197.243.226,5421,52983
192.168.108.101,139.144.251.9,79685,698029
192.168.108.101,140.204.76.174,62415,591303
192.168.108.101,140.91.89.54,38437,356059
192.168.108.101,142.250.184.131,49743,2065321
192.168.108.101,142.250.184.133,39796,1590171
192.168.108.101,142.250.184.134,61851,3237294
192.168.108.101,142.250.184.139,45897,2346296
192.168.108.101,142.250.184.149,53867,1849667
192.168.108.101,142.250.184.164,33231,1446280
192.168.108.101,142.250.184.174,46386,1538969
192.168.108.101,142.250.184.183,51909,2001058
192.168.108.101,142.250.184.184,28866,1360498
192.168.108.101,142.250.184.190,33896,1492025
192.168.108.101,142.250.184.194,62033,3363942
192.168.108.101,142.250.184.199,40977,1276882
192.168.108.101,142.250.184.200,34794,1065587
192.168.108.101,142.250.184.202,52873,2710916
192.168.108.101,142.250.184.203,46227,1153226
192.168.108.101,142.250.184.215,35330,1775114
192.168.108.101,142.250.184.225,52738,2376796
192.168.108.101,142.250.184.230,69225,3337533
192.168.108.101,142.250.184.241,31955,1218346
192.168.108.101,142.250.200.68,4771265,40350989
192.168.108.101,143.42.183.143,34769,226829
192.168.108.101,146.75.89.140,164539,1487182
192.168.108.101,146.75.90.137,131517,1164083
192.168.108.101,146.75.90.167,338265,2710793
192.168.108.101,147.154.122.163,62176,458430
192.168.108.101,148.69.168.40,622230,5425366
192.168.108.101,15.181.245.121,27819,240264
192.168.108.101,15.197.33.34,31970,245011
192.168.108.101,15.230.219.64,6292,39038
192.168.108.101,15.230.249.23,11576,129147
192.168.108.101,15.230.73.122,26033,227107
192.168.108.101,150.222.178.129,24746,237769
192.168.108.101,150.222.196.119,39208,392438
192.168.108.101,150.222.2.87,45702,336710
192.168.108.101,150.222.226.148,43826,334960
192.168.108.101,151.236.220.188,105232,876706
192.168.108.101,157.240.212.174,3058316,26682138
192.168.108.101,157.240.212.35,4410755,37819732
192.168.108.101,157.240.212.60,1053855,8427075
192.168.108.101,157.55.115.89,65086,548212
192.168.108.101,157.55.154.180,73471,635216
192.168.108.101,157.55.39.102,25245,190132
192.168.108.101,157.56.12.202,118680,909215
192.168.108.101,157.56.182.233,128025,1081364
192.168.108.101,159.248.204.243,17905,131415
192.168.108.101,168.61.131.232,10422,123915
192.168.108.101,169.155.148.167,12253,112655
192.168.108.101,170.187.131.194,90735,762983
192.168.108.101,170.187.142.232,23789,236783
192.168.108.101,172.104.192.5,3832,41110
192.168.108.101,172.104.199.249,117154,866107
192.168.108.101,172.104.205.251,57794,530403
192.168.108.101,172.104.7.213,19147,187784
192.168.108.101,172.217.17.14,4049746,34352169
192.168.108.101,172.232.48.59,13242,75223
192.168.108.101,172.232.96.121,46693,380551
192.168.108.101,172.232.98.138,6492,77373
192.168.108.101,172.67.73.32,111693,975811
192.168.108.101,173.230.153.253,43630,413547
192.168.108.101,173.230.158.26,27589,287820
192.168.108.101,173.255.234.121,73266,664711
192.168.108.101,173.255.237.244,52170,458985
192.168.108.101,177.72.247.169,26022,169745
192.168.108.101,178.79.144.43,50847,400458
192.168.108.101,178.79.150.150,6136,70831
192.168.108.101,178.79.169.64,7199,59572
192.168.108.101,18.154.22.25,129745,1100446
192.168.108.101,18.154.41.91,234689,2202840
192.168.108.101,18.154.48.124,433086,3394997
192.168.108.101,18.67.242.41,424997,3509222
192.168.108.101,185.15.58.224,2655533,22141212
192.168.108.101,185.88.181.4,1128444,9846362
192.168.108.101,185.88.181.55,557841,4459738
192.168.108.101,186.192.81.5,104969,831667
192.168.108.101,191.233.53.235,10699,124626
192.168.108.101,191.238.129.102,80678,751026
192.168.108.101,192.133.77.97,15852,157737
192.168.108.101,192.168.108.226,81029,183241
192.168.108.101,192.168.108.234,96701,224126
192.168.108.101,192.168.108.240,13040482,109522142
192.168.108.101,192.241.165.24,31746,290195
192.168.108.101,192.241.167.198,52456,423054
192.168.108.101,192.241.174.141,24096,221571
192.168.108.101,192.29.129.220,103473,942582
192.168.108.101,192.29.129.53,32129,254831
192.168.108.101,192.29.130.37,9244,73542
192.168.108.101,192.34.56.170,65014,648401
192.168.108.101,193.126.232.45,1239653,10350932
192.168.108.101,193.126.240.146,2283843,19672610
192.168.108.101,193.137.20.123,1035448,8642654
192.168.108.101,198.211.103.40,5699,44863
192.168.108.101,198.211.110.123,57412,542530
192.168.108.101,198.54.117.212,73669,589690
192.168.108.101,198.58.110.153,27757,319879
192.168.108.101,198.74.61.157,90720,797707
192.168.108.101,199.30.19.113,115849,1045713
192.168.108.101,199.36.155.221,128273,993301
192.168.108.101,199.36.156.135,16680,191555
192.168.108.101,199.36.156.189,82511,688064
192.168.108.101,20.136.2.150,8417,58492
192.168.108.101,20.136.5.222,118323,1183268
192.168.108.101,20.140.164.206,99443,880502
192.168.108.101,20.140.168.4,89119,662950
192.168.108.101,20.140.226.212,10889,77045
192.168.108.101,20.158.128.13,26425,270844
192.168.108.101,20.195.143.51,39044,321557
192.168.108.101,20.33.4.130,18546,125108
192.168.108.101,20.34.52.174,40464,293549
192.168.108.101,20.42.175.88,57932,625734
192.168.108.101,20.95.48.128,29162,215723
192.168.108.101,20.95.96.235,42228,387793
192.168.108.101,204.79.197.212,2245052,19452953
192.168.108.101,205.251.254.25,70026,598833
192.168.108.101,207.192.69.120,172589,1567459
192.168.108.101,207.46.13.203,18165,145062
192.168.108.101,208.68.108.181,48538,382949
192.168.108.101,209.17.63.43,13176,81997
192.168.108.101,209.240.212.2,118934,981362
192.168.108.101,213.13.146.142,4360162,37458350
192.168.108.101,216.58.215.131,2391070,20524277
192.168.108.101,23.103.199.227,38752,376987
192.168.108.101,23.103.210.57,10671,57382
192.168.108.101,23.49.244.192,55035,352171
192.168.108.101,23.49.244.54,619683,5379753
192.168.108.101,23.97.120.23,17642,163935
192.168.108.101,3.2.41.92,23972,137464
192.168.108.101,3.2.50.124,17443,152269
192.168.108.101,3.3.0.129,54615,495013
192.168.108.101,40.101.58.254,36414,344014
192.168.108.101,40.112.38.57,7440,71869
192.168.108.101,40.123.128.38,99234,797753
192.168.108.101,40.123.163.233,35288,311131
192.168.108.101,40.66.0.159,80968,709188
192.168.108.101,40.66.0.193,68445,506780
192.168.108.101,40.66.3.44,73915,520371
192.168.108.101,40.77.173.243,84134,590654
192.168.108.101,40.77.227.143,61143,503474
192.168.108.101,40.79.94.192,51678,421533
192.168.108.101,40.79.94.47,123243,1053537
192.168.108.101,40.82.44.213,23617,193553
192.168.108.101,40.93.68.73,50807,381846
192.168.108.101,40.96.52.222,48368,412806
192.168.108.101,40.97.12.47,16690,170487
192.168.108.101,40.97.7.136,57708,419387
192.168.108.101,45.79.227.42,16276,246863
192.168.108.101,52.103.166.204,76793,629954
192.168.108.101,52.108.132.31,76521,614266
192.168.108.101,52.108.135.16,122679,1019551
192.168.108.101,52.112.85.251,3164,34099
192.168.108.101,52.115.70.103,58962,464987
192.168.108.101,52.119.207.103,29291,245651
192.168.108.101,52.126.194.2,13929,84703
192.168.108.101,52.126.203.154,19352,144872
192.168.108.101,52.127.109.79,19208,133482
192.168.108.101,52.165.104.103,4946,70540
192.168.108.101,52.225.137.161,109117,962923
192.168.108.101,52.239.169.76,43446,340194
192.168.108.101,52.239.175.177,45142,253198
192.168.108.101,52.46.167.227,81855,763454
192.168.108.101,52.46.170.63,28754,185495
192.168.108.101,52.93.149.219,71025,597541
192.168.108.101,52.93.20.55,4454,30325
192.168.108.101,52.93.5.203,17742,138279
192.168.108.101,52.93.64.51,22103,133575
192.168.108.101,52.94.198.10,71687,698965
192.168.108.101,52.94.243.15,28195,164099
192.168.108.101,52.95.239.186,47136,507209
192.168.108.101,52.95.255.120,43980,374452
192.168.108.101,52.96.11.251,88021,665043
192.168.108.101,54.155.178.5,30382,264278
192.168.108.101,54.192.95.95,700686,6143584
192.168.108.101,62.28.254.212,589065,5216410
192.168.108.101,62.28.254.215,927292,7974673
192.168.108.101,63.246.125.21,8506,63880
192.168.108.101,65.55.110.113,18126,147353
192.168.108.101,66.246.75.24,30538,202605
192.168.108.101,66.254.114.41,494103,4085838
192.168.108.101,69.12.62.150,11491,114021
192.168.108.101,69.164.198.53,243914,2215048
192.168.108.101,69.164.205.110,27137,228830
192.168.108.101,72.14.183.37,21984,111326
192.168.108.101,74.119.79.204,17896,161365
192.168.108.101,88.157.217.145,3659684,31586837
192.168.108.101,88.157.217.146,1296147,11149148
192.168.108.101,88.157.217.148,144060,1253765
192.168.108.101,99.83.119.51,83929,781486
192.168.108.102,104.17.45.30,367435,2957778
192.168.108.102,104.22.47.238,274978,2219153
192.168.108.102,104.244.42.193,1120397,9560762
192.168.108.102,104.26.3.6,630519,5354326
192.168.108.102,104.26.9.83,212042,1795708
192.168.108.102,104.47.220.166,11346,89067
192.168.108.102,104.83.180.153,11148,57005
192.168.108.102,108.157.98.113,533607,4418113
192.168.108.102,108.157.98.51,37170,356636
192.168.108.102,129.148.201.139,55422,471996
192.168.108.102,13.105.37.248,31295,273147
192.168.108.102,13.105.52.218,67478,557506
192.168.108.102,13.107.213.52,59946,476003
192.168.108.102,13.107.224.219,48679,435975
192.168.108.102,13.107.237.42,439827,3674105
192.168.108.102,13.107.237.70,123559,1060205
192.168.108.102,13.107.42.10,46537,1797418
192.168.108.102,13.107.42.11,35746,1077337
192.168.108.102,13.107.42.14,263421,1934144
192.168.108.102,13.107.42.17,54490,2522918
192.168.108.102,13.107.42.3,75144,3037443
192.168.108.102,13.107.42.31,53473,1872229
192.168.108.102,13.107.42.37,47774,4231839
192.168.108.102,13.107.42.40,113082,4800198
192.168.108.102,13.107.42.48,37887,2312541
192.168.108.102,13.107.42.49,70642,4182720
192.168.108.102,13.107.42.50,32200,1726853
192.168.108.102,13.107.42.6,40086,2522136
192.168.108.102,13.107.42.61,79256,3032687
192.168.108.102,13.107.42.7,61164,3065128
192.168.108.102,13.107.43.179,8047,92267
192.168.108.102,13.107.48.131,11109,79404
192.168.108.102,13.107.48.156,50016,431218
192.168.108.102,13.107.50.235,91046,742056
192.168.108.102,13.107.54.161,71746,502067
192.168.108.102,13.107.6.156,23125,244830
192.168.108.102,13.34.18.185,74959,808622
192.168.108.102,13.34.27.80,74397,722052
192.168.108.102,13.34.38.8,3852,32306
192.168.108.102,131.253.35.159,93587,818525
192.168.108.102,134.70.16.50,122678,1061902
192.168.108.102,136.18.50.151,50371,470537
192.168.108.102,138.1.55.247,8371,71178
192.168.108.102,138.68.36.233,7002,36083
192.168.108.102,139.144.133.31,14206,116272
192.168.108.102,139.144.164.243,170330,1503053
192.168.108.102,142.250.184.131,46997,1507757
192.168.108.102,142.250.184.132,39657,1479920
192.168.108.102,142.250.184.164,33914,1290552
192.168.108.102,142.250.184.169,48082,2743576
192.168.108.102,142.250.184.170,52014,1108299
192.168.108.102,142.250.184.171,65153,3516265
192.168.108.102,142.250.184.185,56090,2425992
192.168.108.102,142.250.184.200,51221,2669434
192.168.108.102,142.250.184.201,34771,759321
192.168.108.102,142.250.184.208,40210,1763242
192.168.108.102,142.250.184.215,84288,3419488
192.168.108.102,142.250.184.239,48571,1806127
192.168.108.102,142.250.184.247,38224,1949732
192.168.108.102,142.250.200.68,3940801,33264214
192.168.108.102,143.42.146.115,74871,650049
192.168.108.102,143.42.162.247,32114,331347
192.168.108.102,143.42.163.220,6405,52196
192.168.108.102,143.42.166.132,9350,104734
192.168.108.102,143.42.184.114,13221,112853
192.168.108.102,143.42.232.60,47504,351612
192.168.108.102,146.75.89.140,42794,387261
192.168.108.102,146.75.90.137,163466,1265681
192.168.108.102,146.75.90.167,44855,473523
192.168.108.102,147.154.121.252,19614,134720
192.168.108.102,147.154.32.55,62701,545278
192.168.108.102,147.154.32.86,15440,137816
192.168.108.102,147.154.53.173,23295,201943
192.168.108.102,148.69.168.40,860005,7471841
192.168.108.102,15.177.81.250,62614,628129
192.168.108.102,15.230.180.186,34975,337084
192.168.108.102,15.230.190.224,29641,241512
192.168.108.102,15.230.253.123,5341,49729
192.168.108.102,15.230.255.189,73629,597733
192.168.108.102,15.230.255.228,4863,41142
192.168.108.102,150.222.101.230,31340,258311
192.168.108.102,150.222.67.8,50217,520379
192.168.108.102,151.148.38.239,25990,202562
192.168.108.102,155.248.136.183,24022,254098
192.168.108.102,157.240.212.174,2603882,21975477
192.168.108.102,157.240.212.35,3100958,26851854
192.168.108.102,157.240.212.60,2238919,19242427
192.168.108.102,157.55.106.247,222540,1984440
192.168.108.102,157.55.11.159,52833,400523
192.168.108.102,157.55.11.219,38208,326393
192.168.108.102,157.55.154.241,19051,123466
192.168.108.102,157.55.213.255,135378,1245425
192.168.108.102,157.56.2.223,81219,756172
192.168.108.102,164.90.255.188,6351,59317
192.168.108.102,168.61.128.108,18121,193076
192.168.108.102,172.104.193.81,3147,43753
192.168.108.102,172.104.200.170,50298,510728
192.168.108.102,172.105.152.158,17224,150082
192.168.108.102,172.217.17.14,4692358,39080320
192.168.108.102,172.67.73.32,253337,2226281
192.168.108.102,173.255.221.57,22927,192598
192.168.108.102,173.255.237.165,46891,415205
192.168.108.102,176.32.124.138,22840,214278
192.168.108.102,178.79.166.8,75907,573186
192.168.108.102,178.79.170.147,11280,94904
192.168.108.102,18.154.22.25,42139,370613
192.168.108.102,18.154.41.91,45362,337084
192.168.108.102,18.154.48.124,613020,5218719
192.168.108.102,18.67.242.41,211595,2000300
192.168.108.102,185.15.58.224,1123803,9600242
192.168.108.102,185.88.181.4,1706396,14314616
192.168.108.102,185.88.181.55,528455,4181528
192.168.108.102,186.192.81.5,273248,2253404
192.168.108.102,191.238.79.232,12680,132044
192.168.108.102,192.168.108.226,76540,176886
192.168.108.102,192.168.108.234,80223,182606
192.168.108.102,192.168.108.240,12580675,108336663
192.168.108.102,192.18.207.125,15050,131973
192.168.108.102,192.241.163.75,74983,582423
192.168.108.102,192.26.25.114,31699,242762
192.168.108.102,193.126.232.45,996531,8782892
192.168.108.102,193.126.240.146,1723120,14499411
192.168.108.102,193.137.20.123,501403,4458985
192.168.108.102,198.54.117.212,273210,2262483
192.168.108.102,198.58.110.161,44150,302172
192.168.108.102,20.136.0.123,39357,362832
192.168.108.102,20.136.4.146,44334,372681
192.168.108.102,20.140.162.71,8476,84155
192.168.108.102,20.140.168.155,30187,269106
192.168.108.102,20.140.231.143,86739,836173
192.168.108.102,20.140.91.73,38632,308260
192.168.108.102,20.201.231.217,28278,316743
192.168.108.102,20.33.2.95,128086,1153692
192.168.108.102,20.33.4.105,24142,177218
192.168.108.102,20.35.248.89,8731,63836
192.168.108.102,204.79.180.133,83670,857709
192.168.108.102,204.79.197.212,1377790,11862258
192.168.108.102,212.71.239.241,161330,1294196
192.168.108.102,212.71.255.243,9173,96424
192.168.108.102,213.13.146.142,2496909,21372296
192.168.108.102,216.58.215.131,2446469,20462201
192.168.108.102,23.101.82.82,30084,240334
192.168.108.102,23.49.244.54,110655,980437
192.168.108.102,3.3.2.178,8962,69804
192.168.108.102,3.4.10.52,15831,117746
192.168.108.102,3.5.78.104,39907,357998
192.168.108.102,40.101.58.38,40236,313475
192.168.108.102,40.120.137.85,14506,124759
192.168.108.102,40.123.133.26,184493,1605530
192.168.108.102,40.77.135.74,13943,123915
192.168.108.102,40.77.137.102,22310,217396
192.168.108.102,40.77.166.73,96473,1039650
192.168.108.102,40.77.249.2,15968,151417
192.168.108.102,40.77.254.243,14220,103827
192.168.108.102,40.79.92.162,3300,29675
192.168.108.102,40.79.92.233,9597,103723
192.168.108.102,40.79.92.71,25918,256549
192.168.108.102,40.93.212.120,18671,130101
192.168.108.102,45.60.74.62,107931,814158
192.168.108.102,45.79.253.205,2214,31098
192.168.108.102,45.79.6.92,79076,664723
192.168.108.102,50.116.6.93,103627,885497
192.168.108.102,51.141.129.234,19885,155425
192.168.108.102,52.101.98.68,96787,809346
192.168.108.102,52.103.134.115,13003,111225
192.168.108.102,52.103.38.68,61962,527126
192.168.108.102,52.113.207.138,21617,156446
192.168.108.102,52.115.249.19,49709,449448
192.168.108.102,52.115.54.87,7768,40938
192.168.108.102,52.115.84.229,57806,513509
192.168.108.102,52.115.88.229,17168,196131
192.168.108.102,52.115.92.78,55072,452268
192.168.108.102,52.127.109.88,15233,134789
192.168.108.102,52.219.217.105,17349,154354
192.168.108.102,52.239.187.145,11178,93166
192.168.108.102,52.245.148.175,31131,318037
192.168.108.102,52.245.46.60,30137,233355
192.168.108.102,52.245.68.95,70720,562003
192.168.108.102,52.245.70.112,107602,749300
192.168.108.102,52.245.70.221,57434,470153
192.168.108.102,52.245.75.151,26049,207187
192.168.108.102,52.93.60.120,15370,88557
192.168.108.102,52.94.198.94,8879,93055
192.168.108.102,52.95.21.172,129568,1040781
192.168.108.102,52.95.230.72,86582,819835
192.168.108.102,52.95.42.6,123840,1044203
192.168.108.102,54.155.178.5,133077,1131211
192.168.108.102,54.192.95.95,480337,3888265
192.168.108.102,54.239.100.205,30811,250497
192.168.108.102,54.239.101.254,106271,933469
192.168.108.102,54.240.232.226,122596,967418
192.168.108.102,54.240.246.211,5379,48520
192.168.108.102,62.28.254.212,1179578,9937854
192.168.108.102,62.28.254.215,787351,6872240
192.168.108.102,64.4.54.11,16459,124959
192.168.108.102,65.55.146.100,7106,57480
192.168.108.102,65.55.51.34,6483,34785
192.168.108.102,66.254.114.41,622425,5414282
192.168.108.102,72.247.155.216,14017,120408
192.168.108.102,8.8.8.151,10257,85046
192.168.108.102,8.8.8.235,22495,216151
192.168.108.102,81.208.190.216,22156,188255
192.168.108.102,88.157.217.145,2237404,18976073
192.168.108.102,88.157.217.146,937565,7847945
192.168.108.102,88.157.217.148,64334,524900
192.168.108.102,94.46.135.219,85995,821352
192.168.108.102,99.77.252.207,34103,292067
192.168.108.102,99.77.254.248,10019,96682
192.168.108.102,99.78.198.147,49550,459782
192.168.108.103,104.17.45.30,136599,1119397
192.168.108.103,104.22.47.238,251550,1949592
192.168.108.103,104.244.42.193,1845084,15549309
192.168.108.103,104.244.43.183,72417,630420
192.168.108.103,104.26.3.6,77866,630006
192.168.108.103,104.26.9.83,55128,491066
192.168.108.103,104.47.200.198,53196,449295
192.168.108.103,104.47.211.32,21114,194102
192.168.108.103,104.83.180.153,5662,49188
192.168.108.103,108.157.98.113,314671,2909847
192.168.108.103,13.104.198.119,122144,995379
192.168.108.103,13.107.208.34,45214,454644
192.168.108.103,13.107.237.42,4763,44200
192.168.108.103,13.107.40.4,120214,1184681
192.168.108.103,13.107.42.12,50446,1772946
192.168.108.103,13.107.42.14,173978,1401990
192.168.108.103,13.107.42.16,54944,2525204
192.168.108.103,13.107.42.25,53340,1046565
192.168.108.103,13.107.42.26,36416,1305639
192.168.108.103,13.107.42.29,73436,2393227
192.168.108.103,13.107.42.31,47979,1911641
192.168.108.103,13.107.42.47,36201,1093874
192.168.108.103,13.107.42.53,40987,1566120
192.168.108.103,13.107.42.55,49737,1444052
192.168.108.103,13.107.42.62,64681,3908664
192.168.108.103,13.107.42.9,42888,1617110
192.168.108.103,13.107.50.251,91637,692740
192.168.108.103,13.107.54.4,93237,715736
192.168.108.103,13.107.56.108,17057,119624
192.168.108.103,13.107.6.156,101902,879776
192.168.108.103,13.34.32.125,124217,1015150
